CCSP,CDCS,ADCS,CDWS,GL,NDCS,NRBCON,SL,ZSCS,EURUSD,USDCLP,USDCNY,USDPEN,USInflation,ChinaInflation
52464.0,7035.85,1808.72,619510.0,1381.65,14146.2,2.86,21.79,1819.25,1.34,495.15,6.13,2.73,1.8,2.7
50177.0,6770.0,1749.53,659875.0,1296.67,13836.5,2.78,20.04,1804.95,1.32,508.94,6.13,2.78,1.8,2.7
46483.0,6812.15,1750.0,665155.0,1229.74,13764.6,2.75,19.08,1832.9,1.3,505.05,6.14,2.78,1.88,2.7
50206.0,6855.7,1751.5,658125.0,1241.69,13474.5,2.88,19.27,1830.3,1.29,505.56,6.13,2.78,2.0,2.7
50460.0,6924.8,1779.4,642325.0,1281.2,13595.15,3.08,19.86,1861.6,1.31,504.55,6.14,2.77,2.0,2.7
50864.0,6940.85,1780.85,637370.0,1307.17,13997.0,3.09,19.79,1832.1,1.31,500.66,6.14,2.77,2.0,2.7
50689.0,6895.0,1762.3,620825.0,1326.62,13851.3,3.03,19.96,1823.75,1.33,507.93,6.13,2.78,2.0,2.7
50730.0,6959.4,1756.77,608845.0,1305.83,13801.7,2.99,19.63,1819.8,1.33,513.06,6.13,2.79,1.6,2.62
51896.0,7176.2,1808.3,595270.0,1313.2,14418.9,2.9,20.58,1876.45,1.33,509.83,6.12,2.79,1.5,2.6
53074.0,7302.45,1867.0,581340.0,1361.58,14765.4,2.96,22.8,1940.4,1.33,511.94,6.12,2.8,1.5,2.6
53344.0,7286.35,1842.28,568657.5,1391.51,14383.8,2.98,23.75,1941.17,1.34,513.26,6.12,2.81,1.5,2.6
52890.0,7181.1,1784.9,586620.0,1404.87,13825.2,2.99,23.99,1885.45,1.32,510.34,6.12,2.81,1.38,2.8
52524.0,7121.15,1755.36,598110.0,1379.62,13735.4,2.82,23.37,1840.45,1.32,507.57,6.12,2.8,1.2,3.1
52129.0,7055.68,1746.45,578365.0,1326.86,13765.75,2.72,22.09,1830.5,1.33,503.43,6.12,2.77,1.2,3.1
52294.0,7210.7,1759.3,562140.0,1339.31,13943.0,2.68,22.13,1845.2,1.35,499.95,6.12,2.74,1.2,3.1
52505.67,7229.45,1780.97,541130.0,1321.11,13797.5,2.66,21.54,1860.65,1.35,503.1,6.12,2.77,1.16,3.08
52773.33,7212.95,1799.78,525655.0,1316.82,13761.0,2.63,21.84,1839.45,1.36,499.76,6.12,2.77,1.0,3.0
52320.0,7163.9,1821.55,509870.0,1283.39,13800.0,2.66,21.43,1872.55,1.35,498.28,6.11,2.78,1.0,3.0
52409.0,7240.95,1810.3,497555.0,1314.39,14255.2,2.66,21.98,1902.95,1.37,497.48,6.1,2.76,1.0,3.0
51946.0,7175.5,1824.65,482040.0,1345.37,14506.2,2.59,22.53,1915.6,1.38,505.85,6.09,2.76,1.0,3.0
51945.0,7211.5,1801.8,474645.0,1321.06,14469.0,2.57,21.9,1906.85,1.36,511.19,6.1,2.77,1.12,2.88
51668.0,7143.05,1768.1,464780.0,1292.66,13814.8,2.56,21.39,1866.0,1.34,518.32,6.09,2.79,1.2,2.8
50773.0,6977.85,1744.9,452290.0,1281.69,13603.25,2.65,20.58,1859.1,1.35,519.66,6.09,2.8,1.2,2.8
50935.0,7054.1,1733.4,439855.0,1244.48,13434.9,2.7,19.94,1867.0,1.35,521.29,6.09,2.8,1.2,2.8
50802.0,7000.25,1703.8,424815.0,1234.71,13368.5,2.69,19.49,1852.9,1.36,530.95,6.09,2.8,1.32,2.68
50979.0,7115.25,1736.5,408450.0,1239.79,13750.6,2.7,19.75,1901.2,1.37,529.61,6.08,2.8,1.5,2.5
51347.0,7271.5,1755.62,392935.0,1237.37,13990.3,2.64,19.86,1977.4,1.38,528.9,6.07,2.77,1.5,2.5
51282.0,7256.8,1729.87,380500.0,1202.3,14182.9,2.76,19.44,2027.3,1.37,528.83,6.07,2.77,1.5,2.5
52054.0,7370.15,1754.8,369550.0,1205.59,14053.4,2.81,19.67,2094.1,1.37,526.27,6.06,2.79,1.5,2.5
52227.0,7367.32,1743.08,360007.5,1227.03,13712.8,2.68,19.9,2055.6,1.37,529.36,6.05,2.8,1.6,2.5
52050.0,7318.25,1721.4,344470.0,1239.8,13801.2,2.64,19.96,2038.8,1.37,530.58,6.05,2.8,1.6,2.5
